iter	MAE
0	64257.45278
1	63998.11951
2	63739.18393
3	63487.47712
4	63235.57472
5	62992.37443
6	62748.36754
7	62505.41779
8	62260.98308
9	62022.86838
10	61788.45552
11	61551.58263
12	61321.43629
13	61093.46531
14	60863.78775
15	60637.12304
16	60415.57177
17	60196.83701
18	59977.70393
19	59762.89475
20	59548.85719
21	59335.68398
22	59124.02852
23	58916.02729
24	58711.42
25	58508.71919
26	58309.065
27	58108.5691
28	57909.21344
29	57715.9065
30	57520.08593
31	57328.91492
32	57137.4004
33	56950.00444
34	56761.48652
35	56577.52308
36	56396.80166
37	56218.17421
38	56039.77358
39	55860.42958
40	55684.16475
41	55505.9975
42	55335.13138
43	55165.36695
44	54997.15316
45	54832.86302
46	54672.69874
47	54517.91854
48	54365.96682
49	54218.05723
50	54067.94678
51	53921.22846
52	53777.61246
53	53638.27385
54	53499.2538
55	53369.1171
56	53237.85418
57	53111.35749
58	52985.33829
59	52863.82006
60	52746.78051
61	52635.8337
62	52522.96487
63	52405.01651
64	52294.2583
65	52189.92274
66	52089.15311
67	51985.80393
68	51881.00618
69	51782.21651
70	51684.64163
71	51587.9647
72	51491.16261
73	51396.16006
74	51298.37453
75	51204.50721
76	51114.60685
77	51024.71109
78	50937.62895
79	50853.29545
80	50769.97363
81	50687.191
82	50607.92465
83	50527.77342
84	50449.14797
85	50373.05697
86	50299.44349
87	50232.90811
88	50163.53994
89	50093.58645
90	50021.31199
91	49952.90518
92	49887.57071
93	49823.01124
94	49761.05282
95	49698.40753
96	49637.36522
97	49579.94921
98	49523.47525
99	49471.57371
100	49416.11276
101	49361.25456
102	49308.1787
103	49253.26871
104	49202.30296
105	49151.47369
106	49103.37315
107	49054.69842
108	49007.50046
109	48965.08027
110	48917.8726
111	48873.46993
112	48833.49528
113	48789.96325
114	48747.07371
115	48707.91207
116	48667.10698
117	48627.59525
118	48584.456
119	48544.02945
120	48501.62613
121	48462.10835
122	48422.52164
123	48385.22887
124	48352.64613
125	48316.27074
126	48281.71896
127	48246.66082
128	48212.43382
129	48180.33982
130	48148.42436
131	48115.65898
132	48087.40438
133	48057.35625
134	48027.72582
135	48001.08884
136	47971.17677
137	47942.66001
138	47915.13128
139	47887.99481
140	47859.13461
141	47831.15874
142	47806.45274
143	47780.13445
144	47757.5582
145	47731.96485
146	47707.15461
147	47682.65728
148	47657.72534
149	47632.23058
150	47609.12616
151	47584.08889
152	47562.14214
153	47538.01929
154	47516.29809
155	47494.98761
156	47474.99087
157	47454.19013
158	47434.0916
159	47412.94317
160	47394.93274
161	47374.14451
162	47355.53704
163	47337.22234
164	47319.14744
165	47300.49663
166	47282.93601
167	47265.43415
168	47248.63169
169	47231.91311
170	47214.11193
171	47197.23189
