iter	Passed	Remaining
0	173	86733
1	191	47792
2	201	33392
3	211	26274
4	222	22025
5	233	19209
6	246	17338
7	256	15790
8	267	14577
9	278	13668
10	296	13165
11	309	12581
12	322	12080
13	333	11588
14	345	11160
15	355	10748
16	363	10334
17	372	9973
18	380	9623
19	389	9347
20	398	9079
21	407	8850
22	415	8624
23	423	8399
24	431	8196
25	439	8003
26	447	7837
27	454	7662
28	463	7521
29	470	7364
30	477	7218
31	483	7076
32	492	6964
33	499	6841
34	506	6725
35	513	6617
36	520	6512
37	527	6414
38	534	6318
39	543	6252
40	550	6167
41	558	6090
42	565	6015
43	573	5939
44	580	5873
45	589	5818
46	596	5749
47	603	5680
48	610	5617
49	617	5558
50	624	5500
51	631	5444
52	638	5388
53	646	5337
54	652	5281
55	659	5230
56	666	5178
57	673	5133
58	680	5085
59	687	5041
60	694	4996
61	701	4953
62	707	4910
63	715	4876
64	724	4845
65	733	4821
66	741	4790
67	749	4759
68	756	4723
69	763	4692
70	772	4670
71	779	4636
72	786	4600
73	795	4577
74	807	4576
75	815	4548
76	823	4522
77	830	4495
78	835	4454
79	844	4435
80	855	4425
81	863	4400
82	870	4374
83	877	4345
84	884	4317
85	890	4289
86	898	4264
87	904	4236
88	911	4210
89	918	4185
90	926	4164
91	933	4140
92	940	4116
93	948	4098
94	956	4078
95	964	4058
96	972	4041
97	981	4025
98	991	4015
99	999	3997
100	1006	3977
101	1014	3958
102	1022	3940
103	1030	3921
104	1037	3901
105	1043	3880
106	1051	3860
107	1058	3840
108	1065	3821
109	1072	3802
110	1080	3786
111	1087	3767
112	1096	3753
113	1102	3734
114	1109	3715
115	1116	3697
116	1123	3679
117	1130	3660
118	1138	3643
119	1144	3625
120	1152	3610
121	1159	3593
122	1167	3577
123	1173	3559
124	1180	3541
125	1188	3527
126	1196	3513
127	1203	3496
128	1210	3482
129	1217	3466
130	1225	3450
131	1231	3434
132	1238	3417
133	1245	3401
134	1252	3385
135	1259	3370
136	1266	3354
137	1272	3338
138	1279	3322
139	1286	3308
140	1293	3294
141	1301	3281
142	1308	3266
143	1315	3251
144	1322	3238
145	1329	3224
146	1339	3216
147	1346	3202
148	1353	3187
149	1360	3173
150	1366	3159
151	1373	3144
152	1380	3131
153	1387	3116
154	1394	3103
155	1401	3089
156	1408	3076
157	1415	3063
158	1421	3049
159	1428	3036
160	1435	3023
161	1442	3009
162	1448	2995
163	1456	2983
164	1463	2970
165	1469	2957
166	1476	2944
167	1483	2931
168	1490	2918
169	1496	2905
170	1503	2893
171	1510	2880
172	1517	2868
173	1524	2855
