iter	Passed	Remaining
0	142	71280
1	153	38259
2	164	27192
3	173	21457
4	182	18078
5	193	15900
6	200	14146
7	210	12959
8	219	11999
9	230	11270
10	238	10619
11	248	10095
12	258	9685
13	268	9321
14	277	8981
15	287	8690
16	295	8400
17	305	8167
18	314	7963
19	323	7756
20	333	7600
21	342	7444
22	350	7271
23	360	7140
24	366	6972
25	374	6825
26	381	6679
27	388	6557
28	396	6440
29	404	6330
30	410	6214
31	418	6115
32	424	6014
33	433	5944
34	441	5863
35	449	5787
36	455	5702
37	464	5643
38	471	5575
39	480	5521
40	486	5450
41	496	5409
42	503	5349
43	511	5301
44	518	5244
45	525	5186
46	532	5132
47	540	5094
48	547	5043
49	555	5000
50	563	4959
51	570	4912
52	576	4865
53	584	4827
54	591	4783
55	598	4744
56	605	4705
57	613	4676
58	621	4642
59	629	4614
60	636	4582
61	644	4554
62	651	4521
63	660	4499
64	667	4469
65	675	4439
66	682	4412
67	690	4389
68	699	4368
69	709	4357
70	717	4332
71	724	4306
72	731	4281
73	739	4254
74	747	4234
75	755	4213
76	763	4191
77	770	4166
78	775	4130
79	782	4109
80	793	4102
81	802	4091
82	812	4081
83	822	4072
84	830	4056
85	838	4037
86	846	4016
87	852	3993
88	860	3972
89	867	3952
90	875	3933
91	882	3914
92	890	3895
93	897	3876
94	904	3856
95	912	3838
96	918	3816
97	925	3796
98	932	3775
99	938	3755
100	947	3741
101	954	3722
102	961	3705
103	968	3688
104	976	3672
105	983	3655
106	990	3639
107	998	3623
108	1005	3607
109	1013	3592
110	1021	3581
111	1029	3567
112	1041	3565
113	1051	3560
114	1065	3568
115	1075	3560
116	1087	3559
117	1096	3548
118	1105	3539
119	1114	3529
120	1122	3517
121	1132	3509
122	1142	3500
123	1152	3495
124	1160	3481
125	1169	3471
126	1178	3461
127	1187	3449
128	1194	3436
129	1204	3427
130	1213	3418
131	1220	3403
132	1228	3390
133	1235	3374
134	1243	3361
135	1250	3346
136	1258	3333
137	1264	3316
138	1272	3303
139	1280	3292
140	1289	3282
141	1296	3268
142	1304	3256
143	1311	3242
144	1322	3237
145	1330	3225
146	1338	3214
147	1346	3202
148	1355	3192
149	1362	3180
150	1371	3170
151	1380	3160
152	1387	3147
153	1395	3134
154	1402	3122
155	1411	3112
156	1420	3103
157	1427	3090
